,wager_pct,wager_count,wager_increments,profit_rate,loss_rate,broke_rate
0,0.06103768417360249,174.0,693.0,33.800000000000004,1.6,64.60000000000001
1,0.07084293100541628,815.0,660.0,17.1,0.2,82.69999999999997
2,0.02897575326232928,595.0,815.0,22.1,0.3,77.60000000000002
3,0.023981221005166725,248.0,653.0,34.8,2.4,62.8
4,0.016484095581814545,181.0,790.0,38.7,1.3,60.0
5,0.09382539795524623,329.0,587.0,25.4,1.2,73.4
6,0.030869201606824038,665.0,340.0,31.2,3.0,65.8
7,0.025210746033955702,394.0,416.0,36.4,4.3,59.3
8,0.0696735138703616,302.0,179.0,40.2,6.1,53.7
9,0.06546477608191972,926.0,821.0,13.900000000000002,0.5,85.6
10,0.06370036827760488,549.0,732.0,18.6,0.3,81.10000000000002
11,0.05118796795186339,744.0,480.0,25.0,1.0,74.0
12,0.032022911981039626,285.0,856.0,30.8,1.1,68.10000000000001
13,0.09656305680784104,247.0,808.0,23.3,0.8,75.9
14,0.08589112760146714,122.0,235.0,43.2,11.0,45.8
15,0.08404720841204387,101.0,136.0,49.2,19.8,31.0
16,0.055938330028165326,965.0,252.0,26.4,1.0,72.6
17,0.0805501935088221,537.0,776.0,19.1,0.2,80.7
18,0.06731617968473745,730.0,994.0,13.1,0.0,86.9
19,0.07252532820811687,281.0,804.0,25.9,0.6,73.5
20,0.030788169710904523,908.0,983.0,13.1,0.0,86.9
21,0.02345142646757804,549.0,544.0,31.0,1.3,67.7
22,0.05345831567395337,145.0,373.0,47.0,9.4,43.6
23,0.047547935066580886,894.0,419.0,25.7,0.3,74.0
24,0.020780656481767336,239.0,500.0,44.3,4.7,51.0
25,0.029166161135294792,840.0,568.0,23.0,0.8999999999999999,76.1
26,0.04277255823169741,919.0,869.0,17.599999999999994,0.1,82.3
27,0.034538758532288716,146.0,450.0,51.2,8.9,39.90000000000001
28,0.041786043911779536,501.0,879.0,23.7,0.3,76.0
29,0.08776671933909241,860.0,856.0,14.4,0.2,85.39999999999998
30,0.04857180386979605,768.0,835.0,16.0,0.0,84.0
31,0.03193204105802349,388.0,632.0,31.3,1.5,67.2
32,0.08334044031826525,324.0,689.0,24.2,0.8999999999999999,74.9
33,0.036129913506485686,713.0,122.0,45.3,10.3,44.4
34,0.04109211266595697,631.0,683.0,22.7,0.6,76.7
35,0.09078461784700917,712.0,590.0,18.5,0.4,81.10000000000002
36,0.09747465365516222,925.0,635.0,14.000000000000002,0.0,86.0
37,0.013646764617837641,377.0,368.0,47.2,7.399999999999999,45.4
38,0.057962836599893486,218.0,854.0,28.2,0.8999999999999999,70.89999999999998
39,0.045039514253347054,939.0,827.0,13.5,0.1,86.4
40,0.0300319299655031,632.0,336.0,35.3,2.6,62.1
41,0.04029242703098848,335.0,549.0,32.7,1.2,66.10000000000001
42,0.0950019906256711,211.0,188.0,42.4,5.5,52.1
43,0.04077116648964752,313.0,108.0,50.0,19.5,30.5
44,0.06634569356853154,616.0,579.0,20.5,0.6,78.9
45,0.053660980304877454,130.0,322.0,47.8,14.4,37.8
46,0.04268168794228159,616.0,104.0,40.1,10.0,49.9
47,0.011904068822047904,293.0,814.0,28.8,0.8999999999999999,70.3
48,0.02780195628461323,965.0,477.0,25.7,0.8,73.5
49,0.04789512603507512,611.0,757.0,19.8,0.6,79.60000000000002
50,0.01574437803079149,131.0,682.0,45.9,6.1,48.0
51,0.0649125121421384,972.0,512.0,21.4,0.3,78.3
52,0.06868157958948831,384.0,772.0,20.6,0.4,79.0
53,0.09076758075274828,133.0,999.0,29.6,0.7000000000000001,69.69999999999999
54,0.05889131724433549,676.0,529.0,23.5,0.4,76.1
55,0.05145743633382347,383.0,862.0,21.9,0.4,77.7
56,0.05069127293506311,279.0,456.0,36.2,1.7000000000000002,62.1
57,0.0936077105510938,149.0,406.0,39.3,3.7,56.99999999999999
58,0.09140372721365107,244.0,794.0,25.0,0.4,74.6
59,0.07106712700822694,580.0,645.0,19.6,0.3,80.10000000000002
60,0.0822229161075992,393.0,340.0,28.8,2.0,69.19999999999999
61,0.08019564203762514,288.0,446.0,29.8,2.1,68.10000000000001
62,0.06346859606889126,981.0,923.0,11.9,0.1,88.0
63,0.05513729385601197,843.0,790.0,15.5,0.2,84.3
64,0.016626788831803303,838.0,730.0,19.7,0.2,80.10000000000002
65,0.01906187242145007,507.0,707.0,26.6,1.0,72.39999999999998
66,0.07225439162477441,353.0,297.0,35.3,2.6,62.1
67,0.010530914171878772,630.0,646.0,26.0,0.4,73.6
68,0.010313939337924537,732.0,132.0,48.8,24.1,27.1
69,0.05044920288761173,802.0,396.0,23.5,0.8999999999999999,75.6
70,0.05783934192302635,614.0,973.0,16.5,0.1,83.39999999999998
71,0.09056261257355536,965.0,891.0,10.2,0.0,89.8
72,0.05660870850524944,816.0,810.0,14.4,0.3,85.3
73,0.040848579224917726,373.0,591.0,27.70000000000001,1.6,70.7
